Atf4	Ddr2
Cdx1	Mafb
Cebpb	Cyr61
Cebpb	Mafb
Ciita	Nfatc1
Ctnnb1	Met
E2f1	Tgfb2
Egr1	Met
Egr1	Stim1
Egr2	Cbl
Ets1	Met
Fli1	Cyr61
Fos	Nfatc1
Fos	Stim1
Foxa2	Hhex
Gata2	Rc3h1
Gata4	Hhex
Gtf2i	Tgfb2
Gtf2ird1	Tgfb2
Hgf	Met
Hnf1b	Mafb
Ikzf2	Rc3h1
Irf3	Usp18
Jun	Met
Jund	Cyr61
Mecp2	Mobp
Mecp2	Prodh
Mef2c	Hdac4
Mitf	Met
Mkx	Tgfb2
Mta1	Rnf144a
Mybl2	Mip
Nfatc1	Pag1
Nfatc2	Nfatc1
Nfe2l2	Nfatc1
Nfkb1	Kdm2a
Nfkb1	Prodh
Nkx2-1	Pax8
Nr1h4	Hhex
Pax3	Met
Pax3	Tgfb2
Pax6	Met
Pax6	Tgfb2
Per1	Fxyd5
Prdm8	Cdh11
Prdm8	Cdh11
Rbpj	Nfatc1
Rel	Rc3h1
Rela	Kdm2a
Rela	Met
Rela	Stim1
Smad1	Hhex
Smad4	Hhex
Smad7	Met
Snai2	Lpar2
Sox17	Cer1
Sp1	Met
Sp1	Met
Sp1	Met
Sp1	Nfatc1
Sp3	Met
Sp3	Met
Stat1	Rc3h1
Stat3	Rc3h1
Tfap2a	Itpr1
Trp53	Met
Trp53	Met
Twist1	Zyx
Wt1	Stim1
Zbtb7a	Nfatc1
Zbtb7a	Nfatc1
Zfp148	Tph1
