tracking_id	gene_id	gene_short_name	locus	ESC	MES	HB	HE	HP	MAC
TSS1	XLOC_000001	Lypla1	chr1:4807892-4846735	39.3167	24.1481	25.7484	43.7032	26.0474	31.0991
TSS10	XLOC_000008	Pcmtd1	chr1:7088919-7173628	6.89337	10.1214	5.1394	4.9822	3.27944	19.4934
TSS100	XLOC_000089	Col3a1	chr1:45311537-45349706	0.629835	0.239159	0.0456149	13.6798	6.12938	0.292564
TSS1000	XLOC_000912	5730559C18Rik	chr1:136213521-136234280	5.98228	2.8298	0.994913	0.498752	0.327669	0.00401482
TSS10000	XLOC_009064	Oosp1	chr19:11667459-11691051	0	0	0	0	0	0
TSS10001	XLOC_009065	Stx3	chr19:11775117-11819403	2.92061	1.701	0.981178	0.53066	0.122596	0.679954
TSS10002	XLOC_009065	Stx3	chr19:11775117-11819403	29.6486	22.9073	10.147	6.38427	1.56503	15.5551
TSS10003	XLOC_009066	Olfr1417	chr19:11828076-11829024	0	0	0	0	0	0
TSS10004	XLOC_009067	Olfr1418	chr19:11854994-11855951	0	0	0	0	0	0
TSS10005	XLOC_009068	Olfr1419	chr19:11870182-11871214	0	0	0	0	0	0
TSS10006	XLOC_009069	Olfr1423	chr19:12035807-12036740	0	0	0	0	0	0
TSS10007	XLOC_009070	Olfr1424	chr19:12058808-12059750	0	0	0	0	0	0
TSS10008	XLOC_009071	Olfr1425	chr19:12073694-12074630	0	0	0	0	0	0
TSS10009	XLOC_009072	Olfr1426	chr19:12087609-12091847	0	0	0	0	0	0
TSS1001	XLOC_000913	Gpr25	chr1:136258913-136260873	0.0317244	0.0407433	0	0.0151893	0	0
TSS10010	XLOC_009073	Olfr1427	chr19:12098701-12099637	0	0	0	0	0	0
TSS10011	XLOC_009074	Olfr1428	chr19:12108599-12109544	0	0	0	0	0	0
TSS10012	XLOC_009075	Olfr76	chr19:12119720-12120674	0	0	0	0	0	0
TSS10013	XLOC_009076	Olfr262	chr19:12240720-12241659	0	0	0	0	0	0
TSS10014	XLOC_009077	Olfr1436	chr19:12298182-12299130	0	0	0	0	0	0
TSS10015	XLOC_009078	Olfr1437	chr19:12321886-12322825	0	0	0	0	0	0
TSS10016	XLOC_009079	Dtx4	chr19:12466335-12501996	1.25335	0.772317	0.248379	0.195142	1.54112	38.9431
TSS10017	XLOC_009080	Cntf	chr19:12763527-12765632	1.01517	1.12539	1.28693	1.29441	1.45827	1.14592
TSS10018	XLOC_009081	Zfp91	chr19:12766938-12796123	10.7776	11.7507	14.9909	15.0208	15.4805	25.7973
TSS10019	XLOC_009082	Olfr1446	chr19:12889648-12890575	0	0	0	0	0	0
TSS1002	XLOC_000914	Camsap2	chr1:136268122-136346104	3.38798	8.41995	10.3861	12.0345	2.80157	11.7655
TSS10020	XLOC_009083	Olfr1447	chr19:12900848-12901778	0	0	0	0	0	0
TSS10021	XLOC_009084	Olfr1448	chr19:12919362-12920307	0	0	0	0	0	0
TSS10022	XLOC_009085	Olfr1453	chr19:13027403-13028327	0	0	0	0	0	0
TSS10023	XLOC_009086	Olfr1457	chr19:13094692-13095646	0	0	0	0	0	0
TSS10024	XLOC_009087	Olfr1459	chr19:13145733-13146657	0	0	0	0	0	0
TSS10025	XLOC_009088	Olfr1465	chr19:13313359-13314283	0	0	0	0	0	0
TSS10026	XLOC_009089	Olfr1472	chr19:13453570-13454515	0	0	0	0	0	0
TSS10027	XLOC_009090	Olfr1475	chr19:13479251-13480196	0	0	0	0	0	0
TSS10028	XLOC_009091	Olfr1497	chr19:13794664-13795609	0	0	0	0	0	0
TSS10029	XLOC_009092	Olfr1499	chr19:13814643-13815588	0	0	0	0	0	0
TSS1003	XLOC_000915	Nr5a2	chr1:136843583-136960448	8.28249	0.891983	0.314725	0.89928	0.0600851	0.00533746
TSS10030	XLOC_009093	Olfr1500	chr19:13827458-13828394	0	0	0	0	0	0
TSS10031	XLOC_009094	Olfr1501	chr19:13838223-13839171	0	0	0	0	0	0
TSS10032	XLOC_009095	Olfr1504	chr19:13887260-13888208	0	0	0	0	0	0
TSS10033	XLOC_009096	Tle4	chr19:14448071-14597983	38.0761	12.5085	7.53683	6.4882	7.37577	9.62508
TSS10034	XLOC_009097	Psat1	chr19:15905122-15925059	0.0954545	0.536895	0.632294	0.51542	0.436227	5.20908
TSS10035	XLOC_009097	Psat1	chr19:15905122-15925059	40.7123	34.4567	44.2862	43.1215	57.9618	40.1054
TSS10036	XLOC_009098	Cep78	chr19:15955772-15984989	6.82735	9.66028	10.7375	6.31455	7.72986	3.64911
TSS10037	XLOC_009099	Vps13a	chr19:16615365-16780933	4.35776	4.09617	2.92201	2.86311	9.04632	3.47603
TSS10038	XLOC_009100	Foxb2	chr19:16872315-16873830	0	0	0	0	0	0
TSS1004	XLOC_000915	Nr5a2	chr1:136843583-136960448	0	0	0	1.21684e-05	1.04064e-05	7.27528e-06
TSS10042	XLOC_009102	Pcsk5	chr19:17432831-17837632	0.198466	0.705246	8.89382	7.29104	1.63992	0
TSS10043	XLOC_009103	Ostf1	chr19:18580363-18631813	8.44332	11.2891	7.77637	13.934	14.8779	232.708
TSS10044	XLOC_009104	Rorb	chr19:18930608-19111196	0.0053542	0.00308004	0	0	0	0
TSS10045	XLOC_009104	Rorb	chr19:18930608-19111196	7.76052e-07	0.0143092	0.0333417	0.0208541	0.00930397	0
TSS10046	XLOC_009105	Anxa1	chr19:20373433-20390671	16.7096	1.45303	0.426596	37.8081	17.8073	695.226
TSS10047	XLOC_009106	Aldh1a7	chr19:20692952-20727556	0.0467066	0.023283	0.0138779	0.112638	0.0226251	0.0212388
TSS10048	XLOC_009107	Tmc1	chr19:20783457-20954202	0	0	0	0	0.0158333	0.00348879
TSS10049	XLOC_009108	Gda	chr19:21391306-21472661	0.0087829	0.0316515	0.00494376	0.00819904	0.260113	8.65599
TSS1005	XLOC_000916	Ptprc	chr1:138062858-138175305	0	0	0	0	0.0951619	1.61881
TSS10050	XLOC_009109	1110059E24Rik	chr19:21597312-21652791	15.0658	10.5356	12.5277	10.6147	6.0715	10.9783
TSS10051	XLOC_009110	Smc5	chr19:23206440-23273897	0	0.22562	0.251697	0.269555	0	0
TSS10052	XLOC_009110	Smc5	chr19:23206440-23273897	10.9207	13.7273	15.7765	18.0635	19.2356	6.54395
TSS10053	XLOC_009111	Mamdc2	chr19:23302608-23448322	0.0968204	0.432257	0.0801039	0.449876	6.20541	17.2073
TSS10054	XLOC_009112	1700028P14Rik	chr19:23558759-23652812	0	0	0	0	0	0
TSS10055	XLOC_009113	Fam189a2	chr19:23972749-24031019	0.474808	0.277617	0.199821	0.416877	0.294685	10.0318
TSS10056	XLOC_009114	Tjp2	chr19:24094501-24225026	0	1.53292	7.86504	1.45313	3.42628	5.05022
TSS10057	XLOC_009114	Tjp2	chr19:24094501-24225026	42.7643	22.6379	6.20464	16.1353	3.95663	3.76859
TSS10058	XLOC_009115	Fxn	chr19:24261452-24280586	3.59519	5.55278	5.36904	5.23698	8.04967	1.03484
TSS10059	XLOC_009116	Pip5k1b	chr19:24294795-24555827	0.669742	0.262113	0.151952	0.221603	2.01273	0.219079
TSS1006	XLOC_000916	Ptprc	chr1:138062858-138175305	0.0477413	0.00858093	0.0017273	0.0143109	5.56475	92.3906
TSS10060	XLOC_009117	Fam122a	chr19:24294795-24555827	2.3976	1.49231	1.57323	1.83643	3.10922	2.34789
TSS10061	XLOC_009118	Pgm5	chr19:24674007-24861842	0.0199316	0.0248584	0.038085	0.150355	0.884669	0.0206959
TSS10062	XLOC_009119	Foxd4	chr19:24898964-24901309	0.0347572	0.00753861	0	0	0	0
TSS10063	XLOC_009120	Cbwd1	chr19:24919915-24961616	10.8651	10.7244	13.2828	9.62755	7.92658	5.8497
TSS10064	XLOC_009121	D19Bwg1357e	chr19:27388701-27429820	36.014	24.1423	31.5483	17.3276	17.972	11.5956
TSS10065	XLOC_009122	Rfx3	chr19:27761720-28011166	2.59945e-05	1.99466	2.55464	0.644416	0.513957	0.36088
TSS10066	XLOC_009122	Rfx3	chr19:27761720-28011166	1.27858	0.838426	0.993648	0.864633	0.608385	5.93317e-06
TSS10067	XLOC_009123	Glis3	chr19:28262447-28680077	0.547122	0.78405	0.30639	0.151758	0.0778736	0.332039
TSS10068	XLOC_009124	4430402I18Rik	chr19:28923063-28966801	0.0391105	0.0311163	0.00436792	0.0045645	0.0634252	0.0950704
TSS10069	XLOC_009125	Ak3	chr19:29020831-29047902	7.31691	10.156	12.0734	17.0393	19.0447	38.2609
TSS1007	XLOC_000917	Nek7	chr1:138484713-138619696	9.24659	8.56421	10.0738	11.3961	8.25388	48.3828
TSS10070	XLOC_009126	Insl6	chr19:29321353-29325318	1.55915	0.688229	0.260141	0.0777852	0.582464	4.39692
TSS10071	XLOC_009127	Rln1	chr19:29331754-29334670	2.05743	2.4578	0.92874	0.116161	0.125704	0.0247656
TSS10072	XLOC_009128	Plgrkt	chr19:29348676-29361871	6.1469	8.20171	4.78352	7.9486	11.9758	101.179
TSS10073	XLOC_009129	Ermp1	chr19:29609882-29648420	16.2168	11.6031	9.7027	7.74075	4.39783	8.53257
TSS10074	XLOC_009130	9930021J03Rik	chr19:29714401-29806009	3.0183	1.56838	2.02096	2.76196	2.79062	2.53044
TSS10075	XLOC_009131	Ranbp6	chr19:29808107-29812974	2.07001	5.72081	9.37905	8.62986	7.20801	6.36586
TSS10076	XLOC_009132	Gldc	chr19:30098440-30175441	65.8506	41.2528	25.6633	7.66387	7.18675	0.0884673
TSS10077	XLOC_009133	Dkk1	chr19:30545884-30549496	0.544099	2.05935	11.7788	0.907023	0.250715	0
TSS10078	XLOC_009134	Prkg1	chr19:30564486-31765033	0.0301133	0.0254032	0.0287144	0.136732	0.304651	0.0765738
TSS10079	XLOC_009134	Prkg1	chr19:30564486-31765033	0.028122	0.157158	0.21608	2.58454	3.55999	2.77505
TSS1008	XLOC_000918	Lhx9	chr1:138825185-138847579	0.0239153	0.0123141	0.0124667	0	0	0
TSS10080	XLOC_009135	Asah2	chr19:31984650-32103140	0.0705624	0.218829	0.191607	1.27587	0.549332	7.29152
TSS10081	XLOC_009136	Sgms1	chr19:32122726-32388454	8.81122	5.22156	6.40956	7.54294	3.90694	13.5369
TSS10082	XLOC_009136	Sgms1	chr19:32122726-32388454	0.116456	0.313291	0.127714	0.143135	0.355331	0.335109
TSS10083	XLOC_009136	Sgms1	chr19:32122726-32388454	3.14181	2.37772	2.03554	3.42621	2.14344	6.48933
TSS10084	XLOC_009137	Atad1	chr19:32672562-32712298	16.3835	23.174	27.0308	20.4074	17.5496	32.589
TSS10085	XLOC_009138	Rnls	chr19:33137744-33392295	0.559391	0.515577	0.569046	0.442986	0.265252	1.57249
TSS10086	XLOC_009139	Lipo1	chr19:33555280-33590311	0.993302	0.553467	0.425161	0.542588	0.337005	1.74079
TSS10087	XLOC_009140	Ankrd22	chr19:34100942-34166041	0.127764	0	0	0	0	0
TSS10088	XLOC_009141	Acta2	chr19:34240335-34255373	14.267	1.37047	0.705162	339.047	87.3433	1.2219
TSS10089	XLOC_009142	Ch25h	chr19:34473783-34475135	0.0199194	0.118335	0.172447	0.157969	0.132966	0.367256
TSS1009	XLOC_000918	Lhx9	chr1:138825185-138847579	0.0261372	0.00618136	0.00942644	0	0	0
TSS10091	XLOC_009144	Gm14446	chr19:34592887-34601968	9.87407e-06	3.61246e-06	0	0.0183691	6.53768e-06	0
